,tempC,windspeedKmph,humidity,pressureMB
2024-03-31 00:00:00,15.407905,8.275215,66.980995,1014.6799
2024-03-31 01:00:00,14.854464,7.5131226,69.49898,1014.49335
2024-03-31 02:00:00,14.31322,6.955646,72.07356,1014.2501
2024-03-31 03:00:00,13.802131,6.665581,74.09638,1014.0096
2024-03-31 04:00:00,13.357698,6.5479274,76.06915,1013.88025
2024-03-31 05:00:00,13.128528,6.6833014,77.02009,1013.78107
2024-03-31 06:00:00,13.262906,6.982628,76.29912,1013.7498
2024-03-31 07:00:00,13.6553755,7.40403,75.057304,1013.7974
2024-03-31 08:00:00,14.587619,8.063173,71.855965,1013.80237
2024-03-31 09:00:00,16.090923,8.922666,66.51712,1013.7418
2024-03-31 10:00:00,17.630424,9.82616,61.24109,1013.5121
2024-03-31 11:00:00,19.168924,10.664419,56.109745,1013.1232
2024-03-31 12:00:00,20.634619,11.331306,51.40396,1012.6122
2024-03-31 13:00:00,21.857824,11.827013,47.659325,1011.9431
2024-03-31 14:00:00,22.755219,12.124547,45.33607,1011.2423
2024-03-31 15:00:00,23.270794,12.243672,44.579937,1010.57007
2024-03-31 16:00:00,23.515476,12.262014,44.504097,1009.8893
2024-03-31 17:00:00,23.322035,12.115966,45.99614,1009.3374
2024-03-31 18:00:00,22.654732,11.869718,49.311653,1008.9242
2024-03-31 19:00:00,21.830622,11.624137,53.044952,1008.5685
2024-03-31 20:00:00,20.83426,11.329272,57.450634,1008.334
2024-03-31 21:00:00,19.720486,11.028414,62.573196,1008.1701
2024-03-31 22:00:00,18.714254,10.760086,67.4105,1008.0109
2024-03-31 23:00:00,17.810549,10.440053,71.69259,1007.8664
2024-04-01 00:00:00,16.986897,10.088297,75.52788,1007.7102
2024-04-01 01:00:00,16.296656,9.765589,78.82546,1007.5856
2024-04-01 02:00:00,15.721557,9.4966345,81.39464,1007.47284
2024-04-01 03:00:00,15.237029,9.3016205,83.3685,1007.39343
2024-04-01 04:00:00,14.8642435,9.204333,85.03485,1007.4204
2024-04-01 05:00:00,14.695421,9.272302,85.76137,1007.4948
2024-04-01 06:00:00,14.813341,9.503341,85.18187,1007.626
2024-04-01 07:00:00,15.17332,9.886868,83.822556,1007.80963
2024-04-01 08:00:00,15.898626,10.472602,81.00081,1007.9709
2024-04-01 09:00:00,17.023623,11.225812,76.50621,1008.0818
2024-04-01 10:00:00,18.285217,12.039638,71.48519,1008.07825
2024-04-01 11:00:00,19.602894,12.819029,66.269005,1007.953
2024-04-01 12:00:00,20.892687,13.475252,61.23875,1007.7216
2024-04-01 13:00:00,22.004517,13.966463,57.011158,1007.3681
2024-04-01 14:00:00,22.850365,14.267467,54.05861,1006.9672
2024-04-01 15:00:00,23.38061,14.391502,52.550377,1006.565
2024-04-01 16:00:00,23.630573,14.372627,52.076004,1006.1609
2024-04-01 17:00:00,23.519157,14.165238,53.05503,1005.836
2024-04-01 18:00:00,23.026703,13.787371,55.609234,1005.60724
2024-04-01 19:00:00,22.320526,13.3017,58.951714,1005.446
2024-04-01 20:00:00,21.437252,12.714728,63.006,1005.3804
2024-04-01 21:00:00,20.439875,12.081277,67.63758,1005.38416
2024-04-01 22:00:00,19.480347,11.465342,72.15511,1005.4247
2024-04-01 23:00:00,18.600872,10.866173,76.19861,1005.49255
2024-04-02 00:00:00,17.806757,10.306643,79.72159,1005.5671
2024-04-02 01:00:00,17.131866,9.822363,82.66027,1005.6669
2024-04-02 02:00:00,16.578596,9.43119,84.91996,1005.78564
2024-04-02 03:00:00,16.141582,9.144287,86.56829,1005.9324
2024-04-02 04:00:00,15.836025,8.974011,87.756065,1006.1434
2024-04-02 05:00:00,15.713739,8.952942,88.209335,1006.39746
2024-04-02 06:00:00,15.8313055,9.087599,87.66543,1006.6873
2024-04-02 07:00:00,16.185091,9.374028,86.26854,1007.0037
2024-04-02 08:00:00,16.823547,9.828238,83.744514,1007.3044
2024-04-02 09:00:00,17.765442,10.429915,79.94488,1007.5593
2024-04-02 10:00:00,18.889473,11.118459,75.3521,1007.7233
2024-04-02 11:00:00,20.107342,11.816136,70.32221,1007.7759
2024-04-02 12:00:00,21.324251,12.43627,65.28017,1007.7165
2024-04-02 13:00:00,22.422243,12.916184,60.757713,1007.54266
2024-04-02 14:00:00,23.319187,13.222402,57.192127,1007.29486
2024-04-02 15:00:00,23.960457,13.361027,54.825176,1007.01245
2024-04-02 16:00:00,24.33391,13.357634,53.591473,1006.718
2024-04-02 17:00:00,24.39473,13.2076435,53.6625,1006.4622
2024-04-02 18:00:00,24.122454,12.919316,55.119083,1006.27246
2024-04-02 19:00:00,23.583729,12.521662,57.644516,1006.1494
2024-04-02 20:00:00,22.826736,12.033624,61.08555,1006.1046
2024-04-02 21:00:00,21.91872,11.492501,65.23926,1006.1274
2024-04-02 22:00:00,20.972485,10.941588,69.64272,1006.19806
2024-04-02 23:00:00,20.06214,10.400936,73.89548,1006.3024
2024-04-03 00:00:00,19.229053,9.891826,77.74201,1006.42365
2024-04-03 01:00:00,18.504948,9.438455,81.024216,1006.56177
2024-04-03 02:00:00,17.901062,9.058866,83.64947,1006.7152
2024-04-03 03:00:00,17.421421,8.7687435,85.62637,1006.8902
2024-04-03 04:00:00,17.07818,8.583913,87.01732,1007.1057
2024-04-03 05:00:00,16.90353,8.526018,87.70621,1007.35693
